104.207.144.183      S7400-US
45.63.83.24          MODICON-US
45.32.243.70         S7400-AU
45.32.254.63         S7400-JP


139.59.12.129        S7MOD104-ID
159.203.56.252       S7MOD104-CA
128.199.102.63       S7MOD104-SG


45.32.179.180        ALLSENOR-EN
45.32.244.233        ALLSENOR-AU
45.32.152.252        ALLSENOR-FR
45.63.7.100          ALLSENOR-US


43.224.248.215       SCADA-TW
103.229.126.46       SCADA-HK


108.61.190.33        S7200-GE
123.56.6.213         S7400-CN

121.42.235.207       S7MOD104ALL-CN

